variable LAYING SITTING STANDING WALKING WALKING_DOWNSTAIRS WALKING_UPSTAIRS
tBodyGyroJerk-mean()-Z -0.0572779361413158 -0.0510408282161958 -0.0535174385767314 -0.0551548594472184 -0.0566037005274253 -0.0557540182136075
tBodyGyroJerk-std()-X -0.725832436884979 -0.799044206550366 -0.651448432947377 -0.750684075452265 -0.724862385640114 -0.743357205339961
tBodyGyroJerk-std()-Y -0.772736543869907 -0.831386130220596 -0.715273629643284 -0.823812162555168 -0.813173494617354 -0.771272556255181
tBodyGyroJerk-std()-Z -0.764653123822207 -0.78626687132628 -0.658204352711354 -0.764282930929152 -0.724662866398649 -0.743117319851814
tBodyAccMag-mean() -0.55739582207233 -0.562227559296787 -0.488330822909606 -0.572105772881237 -0.541809359916718 -0.573685475099078
tBodyAccMag-std() -0.618089225383215 -0.607268544554946 -0.52661741812095 -0.606553884076132 -0.575960870154791 -0.615497678567293
tGravityAccMag-mean() -0.55739582207233 -0.562227559296787 -0.488330822909606 -0.572105772881237 -0.541809359916718 -0.573685475099078
tGravityAccMag-std() -0.618089225383215 -0.607268544554946 -0.52661741812095 -0.606553884076132 -0.575960870154791 -0.615497678567293
tBodyAccJerkMag-mean() -0.656136366675 -0.688228367106398 -0.583454821079543 -0.679569867943612 -0.624898000872332 -0.666420840533808
tBodyAccJerkMag-std() -0.646657462493061 -0.677612014564879 -0.5549128070517 -0.657049186600174 -0.587342170866927 -0.640677668309909
tBodyGyroMag-mean() -0.613862912975885 -0.630350639986348 -0.556040912363064 -0.615107518366452 -0.599059270077404 -0.620897649433679
tBodyGyroMag-std() -0.660294013726595 -0.692501068064378 -0.599144568127387 -0.676499591866725 -0.675412224777041 -0.68180739771614
tBodyGyroJerkMag-mean() -0.754386000685339 -0.81036273289426 -0.690428314941238 -0.792935966530778 -0.774170414345661 -0.75961048488342
tBodyGyroJerkMag-std() -0.767628800816533 -0.834100535774339 -0.701596292274271 -0.815723619051161 -0.791810965671408 -0.766113874975971
fBodyAcc-mean()-X -0.647505293302166 -0.651975434634851 -0.565060793934785 -0.628316966499262 -0.591061488978734 -0.651885712594495
fBodyAcc-mean()-Y -0.557541087849547 -0.575102956346595 -0.447691845417072 -0.582418263473171 -0.532384500258329 -0.534370442426736
fBodyAcc-mean()-Z -0.656120620289429 -0.676957648625053 -0.628707765421789 -0.68400313062079 -0.668725183181743 -0.682856123231218
fBodyAcc-std()-X -0.62441506260643 -0.615100961088987 -0.556595208500163 -0.606449151207677 -0.589427204265327 -0.630283968723083
fBodyAcc-std()-Y -0.544383446826307 -0.547079464607794 -0.443951557475236 -0.586426517686011 -0.545390530470932 -0.510970745817163
fBodyAcc-std()-Z -0.627393309556518 -0.598832845262009 -0.5808263398733 -0.62977437822482 -0.624213330660583 -0.654497225843102
fBodyAccJerk-mean()-X -0.672538181005072 -0.702086602766235 -0.595959266564276 -0.671955721042799 -0.608590851362511 -0.686389651290887
fBodyAccJerk-mean()-Y -0.648242559052521 -0.6736015320852 -0.547630730262246 -0.663957224235947 -0.605676109488435 -0.635879930925712
fBodyAccJerk-mean()-Z -0.725059280055144 -0.771209204929938 -0.710718025963893 -0.761961026308943 -0.747505485008037 -0.751780552464508
fBodyAccJerk-std()-X -0.67335318375198 -0.69119707146794 -0.594507205980891 -0.682841113656504 -0.607092679348649 -0.67734838572585
fBodyAccJerk-std()-Y -0.640479052077095 -0.660992210236258 -0.507443917512491 -0.655960578853659 -0.599592449976814 -0.612722210404288
fBodyAccJerk-std()-Z -0.760730117641579 -0.808592785320822 -0.748480580520881 -0.801967145650406 -0.791116928691323 -0.781833769728627
fBodyGyro-mean()-X -0.664066688101543 -0.731200360037029 -0.613805731745383 -0.689034909851161 -0.647493479269282 -0.689639192454922
fBodyGyro-mean()-Y -0.704806001364866 -0.740647884660017 -0.638028071875708 -0.730107619465453 -0.731792997633001 -0.702605720896548
fBodyGyro-mean()-Z -0.6662356968532 -0.682305324834102 -0.576810748780692 -0.662434892931649 -0.628390149699147 -0.649800311900259
fBodyGyro-std()-X -0.734785775753066 -0.766217037192684 -0.706665554176705 -0.747614062438542 -0.720073421098862 -0.757822279887953
fBodyGyro-std()-Y -0.690957680562294 -0.674968902647085 -0.627192476880168 -0.674468708652787 -0.700699462598862 -0.685993721684845
fBodyGyro-std()-Z -0.707657400265638 -0.699154737930332 -0.669230210171773 -0.688082146729733 -0.682779483207681 -0.694562452321567
fBodyAccMag-mean() -0.607019480852557 -0.61456052358776 -0.515516764763295 -0.609333085862485 -0.561110871332361 -0.610065722208238
fBodyAccMag-std() -0.686459015614609 -0.665211464239055 -0.608916841276967 -0.667017086617393 -0.652430082644595 -0.67968865492215
fBodyBodyAccJerkMag-mean() -0.637790385747654 -0.672052358615701 -0.542704638600011 -0.650332521295453 -0.581443728660313 -0.639660797802293
fBodyBodyAccJerkMag-std() -0.661751653313014 -0.687466723770568 -0.575188772201207 -0.668312946073972 -0.598576808566124 -0.644646196634728
fBodyBodyGyroMag-mean() -0.690712892496914 -0.737927536501013 -0.62428494935586 -0.726741495133931 -0.710380972083215 -0.704962368478251
fBodyBodyGyroMag-std() -0.701604390532562 -0.717233857667372 -0.654629750636988 -0.701368326091829 -0.709949121946657 -0.723409410696891
fBodyBodyGyroJerkMag-mean() -0.770261077345885 -0.832384835538751 -0.704963064377844 -0.817458975513937 -0.793129932848506 -0.769317891120674
fBodyBodyGyroJerkMag-std() -0.78202556030463 -0.84884306746314 -0.719432524651905 -0.826719451453542 -0.805419596603841 -0.779045275254728
